Course,Roll No
CS101,22M0806
CS101,22M0795
CS293,23M0797
SysadTA,204050004
CS725,22m0742
CS747,23M0773
DeptWork,21Q050009
CSEWebteam,194053001
CS101,23M2105
CS347,22m0758
CS293,23M0755
CS230,23M0805
CS101,22m0809
CS293,23M0794
DeptWork,194052001
CS101,22m2107
CS232,23M0766
CS154,23M0796
CS101,22M0741
CS475,23M0764
CS101,21Q050010
CS635,22m0767
CS293,23M0747
CS232,23M0770
CS207,23M0795
CS781,22M0798
CS230,23M0812
CS105,194050014
CS152,214050010
CS154,23D0366
CS101,22M0769
CS101,23M2109
CS337,22M2101
CS105,22D0364
CS101,22M0816
CS218M,23M0821
CS101,23M2106
CS154,23D0364
CS101,22M0814
CS101,23M2103
CS725,22M0770
CS101,21Q050017
CSEWebteam,204050007
CS152,194050011
CS101,22M0783
CS101,21Q050008
CS101,22M0751
CS228M,23M0814
CS152,214050006
CS154,23M0799
CS101,22M0813
CS337,22M0807
CS152,214050007
CS224M,23M0753
CS337,22M0771
CS663,22M0746
CS310,23M0743
CS228M,23M0816
CS747,22D0368
CS293,23M0765
CS293,23M0762
CS293,23M0819
CS725,22m2112
CS683,21Q050007
CS101,22M0793
BodhiTree,214050004
CS293,23M0749
CS224M,23M0772
CS207,23M0752
CS232,23M0782
CS232,23M0779
CS232,23M0761
CS663,22M2115
CS101,22M0811
CS232,23M0778
CS152,204050008
CS154,23D0363
CS101,21Q050005
CS154,23M0820
CS347,22m2113
CS347,22D0371
CS224M,23M0756
CS101,22M0750
CS105,204050001
CS228M,23M0817
CS101,22M0792
CS152,194050003
CS6001,22M2105
CS213,194050006
CS101,22M2114
CS310,23M0757
CS101,22M0773
CS337,22M0802
CS101,22M0788
CS228M,23M0818
CS774,22M2108
CS152,22D0382
CS215,22M0754
CS232,23M0769
CS293,23M0774
CS224M,23M0815
CS602,22M0817
CS101,22M0799
CS101,22M0791
CS105,22D0362
CS6001,22M2106
CS101,22m0760
CS154,23D0362
BodhiTree,204050010
CS230,23M0808
CS224M,23M0783
CS213,21Q050015
CS101,22M0748
CS101,22m0796
CS337,21Q050014
CS347,22M0789
CS232,23M0777
CS771,22m0747
CS152,22D0377
CS101,22M0815
CS101,194050015
CS105,194054001
CS101,22M0803
CS232,23M0775
CS230,23M0793
CS230,23M0804
CS152,22D0366
CS347,22M2109
CS683,22M0759
CS101,22M0787
CS101,22M0764
CS347,194050001
CS224M,23M0760
CS207,23M0803
CS207,23M0763
CS337,194050012
CS218M,23M0798
CS101,22m0829
CS230,23M0802
CS154,23M0806
CS310,23M0746
CS663,21Q050006
CS725,22M2110
CS741,22M0777
CS101,22M2104
CS747,194050010
CS725,22M0781
CS101,22m0780
CS101,22m0756
CS293,23M0776
CS218M,23M0741
CS101,21Q050004
KVportal,22D0369
CS152,194050002
CS663,22m0800
InstiWebteam,22D0361
CS310,23M0745
CS207,23M0789
CS230,23M0787
CS230,23M0788
CS101,23M2104
CS475,23M0758
CS230,23M0792
CS101,22M0804
CS725,21Q050016
CS232,23M0780
CS215,22m0772
CS230,23M0811
CS101,23M2107
DeptWork,204050003
CS154,23d0361
CS347,22M0761
CS663,22M2111
CS152,194050004
CS293,23M0791
CS614,22M0779
CS105,22D0367
CS347,22M0808
CS105,214050008
CS101,21Q050001
CS154,23d0373
CS230,23M0810
CS347,22D0376
CS101,22M0744
CS101,22m0745
CS310,23M0750
CS152,214050009
CS154,23D0365
CS207,23M0744
CS101,22M0753
CS604,22M0766
CS768,22M0755
CS213,23D0374
CS101,22M0778
CS293,23M0768
CS101,22M0784
CS230,23M0809
CS310,23M0759
CS101,23M2101
CS347,22M0790
CS725,22M0821
CS101,23M2102
CS602,23M0742
CS101,22M2103
CS101,22M0763
CS347,22M0782
CS207,23M0771
CS347,22M0752
CS293,23M0784
CS152,214050005
CS347,21Q050003
CS337,22M0743
CS154,23D0381
CS310,23M0748
CS207,23M0781
CS293,23M0800
CS310,23M0751
CS337,22M0801
CS663,22M0810
CS101,22M0812
CS230,23M0790
CS154,23M0801
CS232,23M0785
CS101,22M0749
CS101,22M0765
CS101,22M0774
CS101,22M0762
SysadTA,194050013
CS228M,23M0754
CS101,22M0757
CS218M,23M0813
CS725,21Q050012
CS758,22M0776
CS101,23M2110
CS101,23M2108
CS105,22D0363
CS213,23M0807
CS232,23M0767
CS101,23M2112
CS232,23M0786
